player_id,player_slug,player_tag,player_name,player_country
5f3d8fdd95f40596eae2415f,https://octane.gg/players/415f-archie,Archie,Archie Pickthall,en
60bbd0ba6dcdb413cff64a14,https://octane.gg/players/4a14-arinko,Arinko,,jp
5f3d8fdd95f40596eae244ca,https://octane.gg/players/44ca-aris,Aris,,us
5f5ae803c6cbf591c568a385,https://octane.gg/players/a385-arju,arju,Ario Berdin,it
616dab72f8090ec7452886e9,https://octane.gg/players/86e9-arodra,Arodra,,jp
61950560143c37878b23e1c9,https://octane.gg/players/e1c9-arrow-of-lights,Arrow of Lights,,jp
5f3d8fdd95f40596eae23eda,https://octane.gg/players/3eda-arsenal,Arsenal,Tshaka Lateef Taylor Jr,us
5fcbf72a0fed6b419c84cb82,https://octane.gg/players/cb82-arssego,arssego,,br
6083853259c52797c6784421,https://octane.gg/players/4421-artezzy,artezzy,Daniel Gonzalez,cl
61f916ffc437fde7e02cf097,https://octane.gg/players/f097-artix,Artix,,za
620a7ee7da9d7ca1c7ba8493,https://octane.gg/players/8493-aruphy,Aruphy,,id
616da782f8090ec745288677,https://octane.gg/players/8677-arutako,arutako.,,jp
6266dd89c437fde7e02d4944,https://octane.gg/players/4944-aryan-cr7,Aryan Cr7,,in
60be08ea490bd8649dd3073e,https://octane.gg/players/073e-aryaneil,AryaNeil,Arya Neil Kabi,in
609753b5b2e58825e013ac0c,https://octane.gg/players/ac0c-ashllxyy,Ashllxyy.,Ashley Edwards,en
61e551d2c437fde7e02cca2b,https://octane.gg/players/ca2b-asnoric,Asnoric,,jp
5fbf35ee11b0f5756d4bb003,https://octane.gg/players/b003-asphyx,Asphyx,Anshul Atreya,in
60c5cd4c490bd8649dd30ffe,https://octane.gg/players/0ffe-assault,Assault,,jp
5f3d8fdd95f40596eae2435a,https://octane.gg/players/435a-astro,astro,Ty Bullinger,us
62712fc0da9d7ca1c7badcbc,https://octane.gg/players/dcbc-atlantisee,Atlantisee_,,re
5f3d8fdd95f40596eae23fe6,https://octane.gg/players/3fe6-atomic,Atomic,Massimo Franceschi,us
5f3d8fdd95f40596eae23f70,https://octane.gg/players/3f70-atomik,AtomiK,Sergio Pérez Cortés,es
5f3d8fdd95f40596eae2441b,https://octane.gg/players/441b-atow,Atow.,Tristan Soyez,be
619e62a1143c37878b23f076,https://octane.gg/players/f076-auriginal,Auriginal,,za
6074ce8100af93009ae4fc80,https://octane.gg/players/fc80-avasttz,avasttz,Cauã Cerione,br
6195076af8090ec74528cd89,https://octane.gg/players/cd89-avelthenics,Avelthenics,,jp
618009d0143c37878b23bc38,https://octane.gg/players/bc38-aviyon,aviyon,,jp
5faeab2ee9ce4ed313ea60e5,https://octane.gg/players/60e5-awdaz,Awdaz,,br
5f9c805c5246bf27936b981b,https://octane.gg/players/981b-ayjacks,ayjacks,Jackson Carter,us
627b9370c437fde7e02d6361,https://octane.gg/players/6361-ayua,Ayua,,ph
60c5cb379fc1a47e5f111abd,https://octane.gg/players/1abd-ayun,Ayun,,jp
5f3d8fdd95f40596eae23eba,https://octane.gg/players/3eba-ayyjayy,AYYJAYY,Austin Aebi,us
5f3d8fdd95f40596eae240e4,https://octane.gg/players/40e4-aza,Aza,Aaron Smith,au
5f3d8fdd95f40596eae24565,https://octane.gg/players/4565-azmo,Azmo,,nz
5f3d8fdd95f40596eae23f83,https://octane.gg/players/3f83-aztral,AztraL,Maello Ernst,be
5fbda6e016fbe0e46966b13e,https://octane.gg/players/b13e-aztromick,Aztromick,Luis Felipe,br
5f3d8fdd95f40596eae2438a,https://octane.gg/players/438a-b2sel,B2seL,Basel Hisham,sa
5f3d8fdd95f40596eae24343,https://octane.gg/players/4343-baait,baait,Andrew Souza,br
5f3d8fdd95f40596eae24503,https://octane.gg/players/4503-baked-potato,Baked Potato,Hamish Holden,au
5f3d8fdd95f40596eae24562,https://octane.gg/players/4562-bal,Bal,Logan,au
